theme,total,date
,51,2014-01-01 00:00:00
,7575,2014-06-01 00:00:00
,173,2014-08-01 00:00:00
,360,2016-05-01 00:00:00
,182,2016-06-01 00:00:00
,7352934,2016-08-01 00:00:00
,3121719,2016-09-01 00:00:00
,5671502,2016-10-01 00:00:00
,428139,2016-11-01 00:00:00
 Air Quality ,  8040299 , 2016-07-01 00:00:00
 Air Quality ,  8032101 , 2016-08-01 00:00:00
 Air Quality ,  9222577 , 2016-09-01 00:00:00
 Air Quality ,  8553611 , 2016-10-01 00:00:00
 Air Quality ,  1125765 , 2016-11-01 00:00:00
 Electrical  ,    22216 , 2016-07-01 00:00:00
 Electrical  ,    18748 , 2016-08-01 00:00:00
 Electrical  ,    17001 , 2016-09-01 00:00:00
 Electrical  ,    13293 , 2016-10-01 00:00:00
 Electrical  ,     2099 , 2016-11-01 00:00:00
 Environment ,  2667664 , 2016-07-01 00:00:00
 Environment ,  2660428 , 2016-08-01 00:00:00
 Environment ,  3107866 , 2016-09-01 00:00:00
 Environment ,  2867746 , 2016-10-01 00:00:00
 Environment ,   376438 , 2016-11-01 00:00:00
 Traffic     ,   834430 , 2016-07-01 00:00:00
 Traffic     ,   669264 , 2016-08-01 00:00:00
 Traffic     ,   680894 , 2016-09-01 00:00:00
 Traffic     ,   557329 , 2016-10-01 00:00:00
 Traffic     ,    69660 , 2016-11-01 00:00:00
 Water Level ,    52792 , 2016-07-01 00:00:00
 Water Level ,    64837 , 2016-08-01 00:00:00
 Water Level ,    49215 , 2016-09-01 00:00:00
 Water Level ,    50633 , 2016-10-01 00:00:00
 Water Level ,     5017 , 2016-11-01 00:00:00
 Weather     ,      367 , 2015-04-01 00:00:00
 Weather     ,     1349 , 2015-05-01 00:00:00
 Weather     ,     1427 , 2015-06-01 00:00:00
 Weather     ,     1514 , 2015-07-01 00:00:00
 Weather     ,      821 , 2015-08-01 00:00:00
 Weather     ,     1991 , 2015-09-01 00:00:00
 Weather     ,     1854 , 2015-10-01 00:00:00
 Weather     ,     1271 , 2015-11-01 00:00:00
 Weather     ,      740 , 2015-12-01 00:00:00
 Weather     ,       59 , 2016-01-01 00:00:00
 Weather     ,       37 , 2016-02-01 00:00:00
 Weather     ,       38 , 2016-03-01 00:00:00
 Weather     ,      123 , 2016-04-01 00:00:00
 Weather     ,       15 , 2016-05-01 00:00:00
 Weather     ,      102 , 2016-06-01 00:00:00
 Weather     , 10424129 , 2016-07-01 00:00:00
 Weather     ,  9312421 , 2016-08-01 00:00:00
 Weather     , 12508911 , 2016-09-01 00:00:00
 Weather     , 11165209 , 2016-10-01 00:00:00
 Weather     ,  1444238 , 2016-11-01 00:00:00
