"theme","total_readings","total_sensors","date"
"",119091,7,2016-11-01
"",124920,7,2016-11-02
"",126688,7,2016-11-03
"",55660,7,2016-11-04
"Air Quality",335434,87,2016-11-01
"Air Quality",332500,86,2016-11-02
"Air Quality",316142,80,2016-11-03
"Air Quality",137215,78,2016-11-04
"Electrical",522,1,2016-11-01
"Electrical",615,1,2016-11-02
"Electrical",722,1,2016-11-03
"Electrical",240,1,2016-11-04
"Environment",112154,84,2016-11-01
"Environment",111165,83,2016-11-02
"Environment",105708,77,2016-11-03
"Environment",45907,75,2016-11-04
"Traffic",22774,50,2016-11-01
"Traffic",19797,50,2016-11-02
"Traffic",18510,50,2016-11-03
"Traffic",8322,30,2016-11-04
"Water Level",1588,23,2016-11-01
"Water Level",1500,23,2016-11-02
"Water Level",1458,23,2016-11-03
"Water Level",456,23,2016-11-04
"Weather",418785,222,2016-11-01
"Weather",424007,208,2016-11-02
"Weather",415480,208,2016-11-03
"Weather",180734,179,2016-11-04
