"theme","reading","value","timestamp","sensor_name","lon","lat"
"Air Quality","CO","1.0813177464266486e-23",2016-10-31 00:00:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Humidity","90.5",2016-10-31 00:00:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Temperature","10.2",2016-10-31 00:00:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO","20.10416031744971",2016-10-31 00:00:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO2","69.77633114939927",2016-10-31 00:00:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","CO","9.731859717839838e-24",2016-10-31 00:01:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Temperature","10.3",2016-10-31 00:01:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO2","69.42677286706657",2016-10-31 00:01:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Humidity","90.5",2016-10-31 00:01:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO","18.09374428570474",2016-10-31 00:01:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","CO","9.731859717839838e-24",2016-10-31 00:01:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO2","69.42677286706657",2016-10-31 00:01:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO","18.09374428570474",2016-10-31 00:01:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Temperature","10.3",2016-10-31 00:01:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Humidity","90.5",2016-10-31 00:01:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","CO","8.758673746055855e-24",2016-10-31 00:03:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Temperature","10.3",2016-10-31 00:03:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO2","69.73676213447212",2016-10-31 00:03:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO","16.284369857134266",2016-10-31 00:03:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Humidity","90.5",2016-10-31 00:03:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","CO","7.882806371450269e-24",2016-10-31 00:04:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO","14.65593287142084",2016-10-31 00:04:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Temperature","10.2",2016-10-31 00:04:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Humidity","90.5",2016-10-31 00:04:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO2","69.72254822606187",2016-10-31 00:04:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","CO","7.882806371450269e-24",2016-10-31 00:04:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Humidity","90.5",2016-10-31 00:04:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Temperature","10.2",2016-10-31 00:04:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO2","69.72254822606187",2016-10-31 00:04:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO","14.65593287142084",2016-10-31 00:04:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","CO","7.094525734305243e-24",2016-10-31 00:06:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Temperature","10.3",2016-10-31 00:06:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Humidity","90.5",2016-10-31 00:06:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO2","69.51155373087242",2016-10-31 00:06:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO","13.190339584278755",2016-10-31 00:06:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","CO","6.385073160874718e-24",2016-10-31 00:07:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO2","69.45055789367564",2016-10-31 00:07:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Humidity","90.5",2016-10-31 00:07:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO","12.924996513222462",2016-10-31 00:07:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Temperature","10.3",2016-10-31 00:07:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","CO","6.385073160874718e-24",2016-10-31 00:07:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO2","69.45055789367564",2016-10-31 00:07:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Temperature","10.3",2016-10-31 00:07:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO","12.924996513222462",2016-10-31 00:07:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Humidity","90.5",2016-10-31 00:07:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","CO","5.7465658447872464e-24",2016-10-31 00:09:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Humidity","90.5",2016-10-31 00:09:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Temperature","10.3",2016-10-31 00:09:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO","11.632496861900217",2016-10-31 00:09:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","NO2","69.36636156845968",2016-10-31 00:09:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Air Quality","CO","5.171909260308522e-24",2016-10-31 00:10:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
"Weather","Humidity","90.5",2016-10-31 00:10:11,"new_new_emote_1102",-1.6238503387269,54.972338816641
